Title,Original Title,Overview,Release Date,Genres,Runtime,Rating,Vote Count,Tagline,Poster Link,Backdrop Link,Budget,Revenue,Language,Production Companies,Cast,Director
Full Metal Jacket,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987-06-26,"Drama, War",117,8.125,10746,"Vietnam can kill me, but it can’t make me care.",https://image.tmdb.org/t/p/w500/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,https://image.tmdb.org/t/p/w500/3k2TRmqMjgt7tcwkYwZQdctnty3.jpg,30000000,46357676,en,"Natant, Stanley Kubrick Productions, Warner Bros. Pictures","Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey, Dorian Harewood",Stanley Kubrick
Zack Snyder's Justice League,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021-03-18,"Action, Adventure, Fantasy",242,8.123,10176,Us united.,https://image.tmdb.org/t/p/w500/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,https://image.tmdb.org/t/p/w500/pcDc2WJAYGJTTvRSEIpRZwM3Ola.jpg,70000000,0,en,"Warner Bros. Pictures, The Stone Quarry, Atlas Entertainment, Access Entertainment, Dune Entertainment, DC Films","Ben Affleck, Henry Cavill, Gal Gadot, Ray Fisher, Jason Momoa",Zack Snyder
Better Days,少年的你,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",2019-10-25,"Drama, Crime, Romance",135,8.114,482,You protect the world. I'll protect you.,https://image.tmdb.org/t/p/w500/csVZ2ZQCj98XdZoCuW1aixMYJ0W.jpg,https://image.tmdb.org/t/p/w500/97kaaWXmCVHvRYmP8iQCBeZulEC.jpg,0,225879065,zh,"Shooting Pictures, China Wit Media, Tianijn Xiron Entertainment, We Pictures, Haojiahuo Pictures, He Nan Dian Ying Dian Shi Zhi Zuo Ji Tuan, Fat Kids Production, Dadi Film Group, Alibaba Pictures Group, Lian Ray Pictures, Henan Film & TV Production Group, China Film Co-Production Corp.","Zhou Dongyu, Jackson Yee, Yin Fang, Huang Jue, Wu Yue",Derek Tsang Kwok-Cheung
Wonder,Wonder,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",2017-11-13,"Drama, Family",113,8.123,7957,Who gives you the courage to face the world?,https://image.tmdb.org/t/p/w500/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg,https://image.tmdb.org/t/p/w500/4rsrxYDfIzvtAsIE9wevxPRXAk4.jpg,20000000,315025930,en,"Lionsgate, Participant, Walden Media, Mandeville Films, TIK Films","Jacob Tremblay, Julia Roberts, Owen Wilson, Izabela Vidovic, Noah Jupe",Stephen Chbosky
Terminator 2: Judgment Day,Terminator 2: Judgment Day,"Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.",1991-07-03,"Action, Thriller, Science Fiction",137,8.123,13208,It's nothing personal.,https://image.tmdb.org/t/p/w500/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,https://image.tmdb.org/t/p/w500/vINgGecnz95iDL6fjQMARDsocgG.jpg,102000000,520000000,en,"Carolco Pictures, Pacific Western, Lightstorm Entertainment, Le Studio Canal+","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen",James Cameron
Wild Strawberries,Smultronstället,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",1957-08-28,Drama,91,8.122,1669,,https://image.tmdb.org/t/p/w500/iyTD2QnySNMPUPE3IedZQipSWfz.jpg,https://image.tmdb.org/t/p/w500/BBVAUchYvkmPThVIqipgAfabfl.jpg,0,0,sv,SF Studios,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl",Ingmar Bergman
Reservoir Dogs,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",1992-09-02,"Crime, Thriller",99,8.122,14554,Every dog has his day.,https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,https://image.tmdb.org/t/p/w500/jqFjgNnxpXIXWuPsyfqmcLXRo9p.jpg,1200000,2859750,en,"Live Entertainment, Dog Eat Dog Productions","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi",Quentin Tarantino
Call Me by Your Name,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",2017-07-28,"Romance, Drama",132,8.1,12256,Is it better to speak or die?,https://image.tmdb.org/t/p/w500/gXiE0WveDnT0n5J4sW9TMxXF4oT.jpg,https://image.tmdb.org/t/p/w500/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg,3500000,43143046,en,"La Cinéfacture, Frenesy Film, M.Y.R.A. Entertainment, RT Features, Water's End Productions, Memento Films International","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel",Luca Guadagnino
Stalker,Сталкер,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",1979-05-25,"Science Fiction, Drama",162,8.1,2259,,https://image.tmdb.org/t/p/w500/npvwT8SxBPNqX7MAE9yYMuGCZcB.jpg,https://image.tmdb.org/t/p/w500/6yrbWzzrPp7pwz6zHdifspJk8t3.jpg,120000,0,ru,Mosfilm,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, Natalya Abramova",Andrei Tarkovsky
Red Beard,赤ひげ,"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.",1965-04-03,Drama,185,8.118,374,"What is the key to life - power, prestige or peace?",https://image.tmdb.org/t/p/w500/fo800fRcWtl3Zhs6tPHfXP4KBak.jpg,https://image.tmdb.org/t/p/w500/i4XlRFhNi61C2SZwgEuw8QgN59Q.jpg,0,0,ja,"TOHO, Kurosawa Production","Toshirō Mifune, Yūzō Kayama, Tsutomu Yamazaki, Reiko Dan, Miyuki Kuwano",Akira Kurosawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",1964-01-29,"Comedy, War",95,8.117,5742,The hot-line suspense comedy.,https://image.tmdb.org/t/p/w500/6x7MzQ6BOMlRzam1StcmPO9v61g.jpg,https://image.tmdb.org/t/p/w500/sTp8K0SfcC2RQef1Tu160z3niHO.jpg,1800000,9500000,en,Hawk Films,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",Stanley Kubrick
Double Indemnity,Double Indemnity,A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy.,1944-07-06,"Crime, Thriller",107,8.116,1852,It's love and murder at first sight!,https://image.tmdb.org/t/p/w500/rVNYZZgfhwqVMMWlBmxOfWqnwCj.jpg,https://image.tmdb.org/t/p/w500/byQdu1nzQLI9t1VeoP1xuQfru3L.jpg,927262,2500000,en,Paramount Pictures,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather",Billy Wilder
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,1998-08-28,"Comedy, Crime",105,8.116,6725,A Disgrace to Criminals Everywhere.,https://image.tmdb.org/t/p/w500/wt2TRBmFmBn5M5MBcPTwovlREaB.jpg,https://image.tmdb.org/t/p/w500/cXQH2u7wUIX1eoIdEj51kHXoWhX.jpg,1350000,28356188,en,"The Steve Tisch Company, SKA Films, Handmade Films","Vinnie Jones, Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",Guy Ritchie
The Father,The Father,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020-12-23,Drama,97,8.115,3287,,https://image.tmdb.org/t/p/w500/xxHNaCMycynHMKdEZHHQCzaPbZl.jpg,https://image.tmdb.org/t/p/w500/h3weAFgg06GqchI2xDfufBgSFTj.jpg,6000000,21029340,en,"Les Films du Cru, Film4 Productions, F Comme Film, Trademark Films, Ciné-@, Embankment Films","Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",Florian Zeller
Portrait of a Lady on Fire,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",2019-09-18,"Drama, Romance, History",121,8.114,2656,Don't regret. Remember.,https://image.tmdb.org/t/p/w500/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,https://image.tmdb.org/t/p/w500/foFq1RZWQIgFuCQ0nyYccywjFyX.jpg,5740000,9923127,fr,"Lilies Films, ARTE France Cinéma, Hold Up Films","Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras",Céline Sciamma
Soul,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",2020-12-25,"Animation, Family, Comedy, Fantasy",101,8.111,10699,Everybody has a soul. Joe Gardner is about to find his.,https://image.tmdb.org/t/p/w500/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,https://image.tmdb.org/t/p/w500/4JNggqfyJWREqb0enzpUMbvIniV.jpg,150000000,121977511,en,"Walt Disney Pictures, Pixar","Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga",Pete Docter
"“The Shorts” by Aldo, Giovanni and Giacomo","“I Corti” di Aldo, Giovanni & Giacomo","I Corti (""Shorts"") by Aldo, Giovanni & Giacomo was the first stage show of the comedy trio, with the participation of Marina Massironi. It was recorded live at the Teatro Nuovo in Ferrara on 28 and 29 March 1996. Produced by Agidi, with the theatre direction of Arturo Brachetti.",1996-03-29,Comedy,120,8.1,350,,https://image.tmdb.org/t/p/w500/y3hEulMYSTQuvmI5jBTyWrcvJQX.jpg,https://image.tmdb.org/t/p/w500/mFVGzW8a2Z37NphnuB6liChiuRv.jpg,0,0,it,A.Gi.Di.,"Aldo Baglio, Giacomo Poretti, Giovanni Storti, Marina Massironi",Arturo Brachetti
Metropolis,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",1927-02-06,"Drama, Science Fiction",153,8.109,2832,There can be no understanding between the hands and the brain unless the heart acts as mediator.,https://image.tmdb.org/t/p/w500/vZIJxGnjcswPCAa52jhbl01FQkV.jpg,https://image.tmdb.org/t/p/w500/eeMoFKxjjiCi6iep2GEZtSAMYIr.jpg,5300000,1350322,de,UFA,"Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos",Fritz Lang
Palmer,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",2021-01-28,Drama,110,8.106,1675,Family is who you make it.,https://image.tmdb.org/t/p/w500/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg,https://image.tmdb.org/t/p/w500/mlBmnjDJfsAhvqRVc2aFOjsfh8M.jpg,0,0,en,"SK Global Entertainment, Sidney Kimmel Entertainment","Justin Timberlake, Ryder Allen, Juno Temple, Alisha Wainwright, June Squibb",Fisher Stevens
The Hate U Give,The Hate U Give,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",2018-10-19,"Crime, Drama",133,8.105,2147,Two worlds. One voice. No going back.,https://image.tmdb.org/t/p/w500/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,https://image.tmdb.org/t/p/w500/kH8xW7K2Gp1KOXoeewcLPkfqZ8K.jpg,23000000,34934009,en,Temple Hill Entertainment,"Amandla Stenberg, Regina Hall, Russell Hornsby, K.J. Apa, Common",George Tillman Jr.
The Great War,La grande guerra,"Italy, 1916. Oreste Jacovacci and Giovanni Busacca are called, as all the Italian youths, to serve the army in the WWI. They both try in every way to avoid serving the army.",1959-10-28,"Comedy, War, Drama",137,8.1,346,,https://image.tmdb.org/t/p/w500/aDvKsUb5y7GMNMz2HHNtuGww5t8.jpg,https://image.tmdb.org/t/p/w500/fcH7FM74GoHgOUnKjpGAoKOxWvY.jpg,0,0,it,"gray-film, DDL Cinematografica","Vittorio Gassman, Alberto Sordi, Silvana Mangano, Folco Lulli, Bernard Blier",Mario Monicelli
Big Deal on Madonna Street,I soliti ignoti,"Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.",1958-07-26,"Comedy, Crime",106,8.1,717,The Story of a Perfect Crime ... Perfectly Hilarious!,https://image.tmdb.org/t/p/w500/f5OxD8Nl0pR3DcYHtYhHRfpsmjl.jpg,https://image.tmdb.org/t/p/w500/ryoWP1kvNcwPif6uNbuZwQfrJPy.jpg,0,0,it,"Lux Film, Vides Cinematografica","Vittorio Gassman, Renato Salvatori, Memmo Carotenuto, Rossana Rory, Carla Gravina",Mario Monicelli
The Best of Youth,La meglio gioventù,"After a fateful encounter in the summer of 1966, the lifepaths of two brothers from a middle-class Roman family diverge, intersecting with some of the most significant events of postwar Italian history in the following decades.",2003-06-22,"Drama, History, Romance",367,8.105,549,The Possibilities Were Endless...,https://image.tmdb.org/t/p/w500/jKFeWrVshmFj8uG056O4tT5ZNTE.jpg,https://image.tmdb.org/t/p/w500/ojH9M6BIHnHyAXLPsm7cRi7OkLU.jpg,0,2693053,it,"BiBi Film, Rai Fiction","Luigi Lo Cascio, Alessio Boni, Adriana Asti, Sonia Bergamasco, Fabrizio Gifuni",Marco Tullio Giordana
Green Snake,白蛇2：青蛇劫起,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",2021-07-23,"Animation, Fantasy, Action, Adventure",131,8.1,317,Dependence arises from the previous life.,https://image.tmdb.org/t/p/w500/1zs5zsQDP5KuWwxIg9EUULLFEV.jpg,https://image.tmdb.org/t/p/w500/iR3RoTXtPRVKAIWPHjupfn5JZpM.jpg,0,87212911,zh,"Light Chaser Animation Studios, Alibaba Pictures Group","Tang Xiaoxi, Zhang Fuzheng, Wei Chao, Zhao Mingzhou, Zheng Xiaopu",Amp Wong
In the Mood for Love,花樣年華,"In 1962 Hong Kong, two neighbors form a strong bond after both suspect extramarital activities of their spouses.",2000-09-29,"Drama, Romance",99,8.1,2882,"Feel the heat, keep the feeling burning, let the sensation explode.",https://image.tmdb.org/t/p/w500/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,https://image.tmdb.org/t/p/w500/gx3Iat10dc39XbDwbmdfKPsow3U.jpg,150000,14204632,cn,"Block 2 Pictures, Paradis Films, Jet Tone Production","Tony Leung, Maggie Cheung, Rebecca Pan, Kelly Lai Chen, Siu Ping-Lam",Wong Kar-wai
The Invisible Guest,Contratiempo,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",2017-01-06,"Drama, Mystery, Thriller",107,8.1,4627,"Every story has two sides. The truth, only one.",https://image.tmdb.org/t/p/w500/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg,https://image.tmdb.org/t/p/w500/1ZSWFzAP4AZuFCigZZoib2RdcUO.jpg,4000000,30000000,es,"Think Studio, Nostromo Pictures, Colosé Producciones, ICEC, Movistar+, TV3, Atresmedia, Orange, Cosmopolitan TV","Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella",Oriol Paulo
Mortal Kombat Legends: Scorpion's Revenge,Mortal Kombat Legends: Scorpion's Revenge,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",2020-04-12,"Animation, Action, Fantasy",80,8.099,1394,Extreme violence. Bad language. And a bloody good time.,https://image.tmdb.org/t/p/w500/4VlXER3FImHeFuUjBShFamhIp9M.jpg,https://image.tmdb.org/t/p/w500/vw3zNfzvnVNF7nIjpiEgcdznfeC.jpg,0,0,en,Warner Bros. Animation,"Patrick Seitz, Jordan Rodrigues, Jennifer Carpenter, Joel McHale, Ike Amadi",Ethan Spaulding
